"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 10 15:40:36 GMT 2022","Sat Sep 10 15:40:36 GMT 2022","44","Allure tests structure","Allure tests structure","Set in beforeEach","","","""Tests structure"", ""behaviors"", ""labels""",""
"passed","Sat Sep 10 15:40:33 GMT 2022","Sat Sep 10 15:40:33 GMT 2022","25","","Allure labels","","","","should be able to add test id for allure testops",""
"passed","Sat Sep 10 15:39:49 GMT 2022","Sat Sep 10 15:39:49 GMT 2022","26","","Allure Cypress log","","","","should be configurable by allureLogCypress env variable",""
"passed","Sat Sep 10 15:40:36 GMT 2022","Sat Sep 10 15:40:37 GMT 2022","22","Allure tests structure","Label storage","Set in beforeEach","","","""Label storage"", ""Set in test""",""
"passed","Sat Sep 10 15:40:18 GMT 2022","Sat Sep 10 15:40:19 GMT 2022","380","","Allure screenshots","","","","should attach screenshot with custom name",""
"broken","Sat Sep 10 15:39:46 GMT 2022","Sat Sep 10 15:39:46 GMT 2022","0","","cypress/e2e/examples/crashed.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/examples/crashed.cy.js",""
"passed","Sat Sep 10 15:40:33 GMT 2022","Sat Sep 10 15:40:33 GMT 2022","24","","Allure labels","","","","should be able to add label",""
"passed","Sat Sep 10 15:40:51 GMT 2022","Sat Sep 10 15:40:51 GMT 2022","63","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Some scenario with examples (example #3)",""
"passed","Sat Sep 10 15:40:12 GMT 2022","Sat Sep 10 15:40:12 GMT 2022","14","","Allure links","","","","should accept * character as pattern in tmsPrefix configuration",""
"passed","Sat Sep 10 15:40:46 GMT 2022","Sat Sep 10 15:40:46 GMT 2022","98","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Allure labels",""
"passed","Sat Sep 10 15:40:15 GMT 2022","Sat Sep 10 15:40:15 GMT 2022","13","","Allure parameters","","","","should attach parameter number 2 to step",""
"passed","Sat Sep 10 15:40:33 GMT 2022","Sat Sep 10 15:40:33 GMT 2022","11","","Allure labels","","","","should be able to add tag",""
"passed","Sat Sep 10 15:40:46 GMT 2022","Sat Sep 10 15:40:46 GMT 2022","80","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Allure gherkin suite structure",""
"passed","Sat Sep 10 15:39:49 GMT 2022","Sat Sep 10 15:39:50 GMT 2022","503","","Allure Cypress log","","","","should attach cy.request data with allureLogCypress and allureAttachRequests env vars",""
"passed","Sat Sep 10 15:40:51 GMT 2022","Sat Sep 10 15:40:51 GMT 2022","74","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Will attach links for each example separately (example #1)",""
"passed","Sat Sep 10 15:39:53 GMT 2022","Sat Sep 10 15:39:53 GMT 2022","21","","Allure Environment info","","","","should overwrite Environment info",""
"passed","Sat Sep 10 15:40:12 GMT 2022","Sat Sep 10 15:40:12 GMT 2022","11","","Allure links","","","","should be able to add link to issue tracker",""
"passed","Sat Sep 10 15:40:15 GMT 2022","Sat Sep 10 15:40:15 GMT 2022","11","","Allure parameters","","","","should attach parameter number 1 to step",""
"passed","Sat Sep 10 15:40:15 GMT 2022","Sat Sep 10 15:40:15 GMT 2022","28","","Allure parameters","","","","should attach testParameter number 1 to test",""
"passed","Sat Sep 10 15:40:30 GMT 2022","Sat Sep 10 15:40:30 GMT 2022","63","","Allure steps","","","","could be started and finished with startStep, endStep",""
"passed","Sat Sep 10 15:39:49 GMT 2022","Sat Sep 10 15:39:49 GMT 2022","29","","Allure Cypress log","","","","should log cypress commands as steps when allureLogCypress is enabled",""
"broken","Sat Sep 10 15:40:05 GMT 2022","Sat Sep 10 15:40:05 GMT 2022","2","","Failed in global hooks","","","","should create a blank test with error when cypress got uncaught exception",""
"passed","Sat Sep 10 15:40:12 GMT 2022","Sat Sep 10 15:40:12 GMT 2022","13","","Allure links","","","","should be able to add link to test management system",""
"passed","Sat Sep 10 15:40:51 GMT 2022","Sat Sep 10 15:40:51 GMT 2022","82","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Some scenario with examples (example #4)",""
"failed","Sat Sep 10 15:40:02 GMT 2022","Sat Sep 10 15:40:02 GMT 2022","191","","Failed in global hooks","","","","should create a blank test with error when cypress got uncaught exception",""
"passed","Sat Sep 10 15:40:36 GMT 2022","Sat Sep 10 15:40:36 GMT 2022","15","Allure tests structure","Set in test","Using commands","","","""Set in test"", ""Using commands""",""
"passed","Sat Sep 10 15:40:51 GMT 2022","Sat Sep 10 15:40:51 GMT 2022","102","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Will attach links for each example separately (example #2)",""
"passed","Sat Sep 10 15:40:30 GMT 2022","Sat Sep 10 15:40:30 GMT 2022","33","","Allure steps","","","","could be started for current test with step and finished automatically",""
"passed","Sat Sep 10 15:40:19 GMT 2022","Sat Sep 10 15:40:19 GMT 2022","16","","Allure screenshots","","","","should attach screenshot diff",""
"passed","Sat Sep 10 15:40:12 GMT 2022","Sat Sep 10 15:40:12 GMT 2022","29","","Allure links","","","","should be configurable with prefix env variables",""
"failed","Sat Sep 10 15:40:46 GMT 2022","Sat Sep 10 15:40:50 GMT 2022","4211","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Some scenario with examples (example #2)",""
"passed","Sat Sep 10 15:40:33 GMT 2022","Sat Sep 10 15:40:33 GMT 2022","10","","Allure labels","","","","should be able to add markdown description","
## Emphasis

**This is bold text**

__This is bold text__

*This is italic text*

_This is italic text_

~~Strikethrough~~
"
"passed","Sat Sep 10 15:40:12 GMT 2022","Sat Sep 10 15:40:12 GMT 2022","34","","Allure links","","","","should be able to add link other external system",""
"skipped","Sat Sep 10 15:40:22 GMT 2022","Sat Sep 10 15:40:22 GMT 2022","3","","Allure test statuses","","","","should be skipped",""
"passed","Sat Sep 10 15:40:33 GMT 2022","Sat Sep 10 15:40:33 GMT 2022","10","","Allure labels","","","","should be able to add severity",""
"passed","Sat Sep 10 15:39:53 GMT 2022","Sat Sep 10 15:39:53 GMT 2022","24","","Allure Environment info","","","","should add Environment info",""
"passed","Sat Sep 10 15:39:43 GMT 2022","Sat Sep 10 15:39:43 GMT 2022","42","","Allure attachments","","","","should be able to attach file to executable by content",""
"failed","Sat Sep 10 15:40:22 GMT 2022","Sat Sep 10 15:40:26 GMT 2022","4122","","Allure test statuses","","","","should be failed",""
"passed","Sat Sep 10 15:40:22 GMT 2022","Sat Sep 10 15:40:22 GMT 2022","33","","Allure test statuses","","","","should be passed",""
