"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","skip from inside (should be able to add tag)","","Fri Mar 28 18:12:43 GMT 2025","skipped","Fri Mar 28 18:12:43 GMT 2025","","Allure skipped tests","",""
"","12","should log before hooks as pre-requisites and each hooks as steps","","Fri Mar 28 18:12:14 GMT 2025","passed","Fri Mar 28 18:12:14 GMT 2025","","Allure hooks","",""
"","312","test with retries (no screenshots for retries)","","Fri Mar 28 18:12:38 GMT 2025","passed","Fri Mar 28 18:12:38 GMT 2025","","Allure retry","",""
"","20","should be able to attach file to test by content","","Fri Mar 28 18:12:02 GMT 2025","passed","Fri Mar 28 18:12:02 GMT 2025","","Allure attachments","",""
"","12","""Set in test"", ""Using commands""","Allure tests structure","Fri Mar 28 18:12:58 GMT 2025","passed","Fri Mar 28 18:12:58 GMT 2025","Using commands","Set in test","",""
"","8","should write executors.json file","","Fri Mar 28 18:12:09 GMT 2025","passed","Fri Mar 28 18:12:09 GMT 2025","","Allure executor info","",""
"","225","should create a blank test with error when cypress got uncaught exception","","Fri Mar 28 18:12:11 GMT 2025","failed","Fri Mar 28 18:12:11 GMT 2025","","Failed in global hooks","",""
"","8","should be configurable with prefix env variables","","Fri Mar 28 18:12:16 GMT 2025","passed","Fri Mar 28 18:12:16 GMT 2025","","Allure links","",""
"","6285","Visit Site 3 - Yahoo","","Fri Mar 28 18:12:26 GMT 2025","failed","Fri Mar 28 18:12:33 GMT 2025","","Multiple domains","",""
"","1","skip by xit","","Fri Mar 28 18:12:43 GMT 2025","skipped","Fri Mar 28 18:12:43 GMT 2025","","Allure skipped tests","",""
"","9","""Tests structure"", ""behaviors"", ""labels""","Allure tests structure","Fri Mar 28 18:12:58 GMT 2025","passed","Fri Mar 28 18:12:58 GMT 2025","Set in beforeEach","Allure tests structure","",""
"","17","non-unique test name","","Fri Mar 28 18:12:53 GMT 2025","passed","Fri Mar 28 18:12:53 GMT 2025","","Allure test name duplicates (same suite, same test names)","",""
"","24","should not log cypress commands when allureLogCypress is disabled","","Fri Mar 28 18:12:06 GMT 2025","passed","Fri Mar 28 18:12:06 GMT 2025","","Allure Cypress log","",""
"","24","should log cypress custom command as separate step","","Fri Mar 28 18:12:05 GMT 2025","passed","Fri Mar 28 18:12:05 GMT 2025","","Allure Cypress log","",""
"","26","Will attach links for each example separately (example #2)","Gherkin_parent_suite","Fri Mar 28 18:13:10 GMT 2025","passed","Fri Mar 28 18:13:10 GMT 2025","Gherkin_sub_suite","Gherkin_suite","",""
"","9","should add Environment info","","Fri Mar 28 18:12:07 GMT 2025","passed","Fri Mar 28 18:12:07 GMT 2025","","Allure Environment info","",""
"","18","should attach testParameter number 2 to test","","Fri Mar 28 18:12:35 GMT 2025","passed","Fri Mar 28 18:12:35 GMT 2025","","Allure parameters","",""
"","20","should be able to add link to issue tracker","","Fri Mar 28 18:12:16 GMT 2025","passed","Fri Mar 28 18:12:16 GMT 2025","","Allure links","",""
"","26","Some scenario with examples (example #4)","Gherkin_parent_suite","Fri Mar 28 18:13:10 GMT 2025","passed","Fri Mar 28 18:13:10 GMT 2025","Gherkin_sub_suite","Gherkin_suite","",""
"","13","should be able to add owner","","Fri Mar 28 18:12:56 GMT 2025","passed","Fri Mar 28 18:12:57 GMT 2025","","Allure labels","",""
"","1716","Visit Site 1 - Google","","Fri Mar 28 18:12:20 GMT 2025","passed","Fri Mar 28 18:12:21 GMT 2025","","Multiple domains","",""
