"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 09 13:11:27 GMT 2021","Fri Apr 09 13:11:27 GMT 2021","28","","Allure hooks","","","","should log before hooks as pre-requisites and each hooks as steps",""
"passed","Fri Apr 09 13:11:19 GMT 2021","Fri Apr 09 13:11:19 GMT 2021","16","","Allure attachments","","","","should be able to attach existing file to test by path",""
"passed","Fri Apr 09 13:11:34 GMT 2021","Fri Apr 09 13:11:34 GMT 2021","26","","Allure screenshots","","","","should attach screenshot diff",""
"passed","Fri Apr 09 13:11:23 GMT 2021","Fri Apr 09 13:11:23 GMT 2021","35","","Allure Environment info","","","","should add Environment info",""
"passed","Fri Apr 09 13:11:21 GMT 2021","Fri Apr 09 13:11:21 GMT 2021","18","","Allure Cypress log","","","","should not log cypress commands when allureLogCypress is disabled",""
"passed","Fri Apr 09 13:11:33 GMT 2021","Fri Apr 09 13:11:33 GMT 2021","446","","Allure screenshots","","","","should attach screenshot automatically",""
"passed","Fri Apr 09 13:11:29 GMT 2021","Fri Apr 09 13:11:29 GMT 2021","24","","Allure links","","","","should be able to add link other external system",""
"passed","Fri Apr 09 13:11:21 GMT 2021","Fri Apr 09 13:11:21 GMT 2021","59","","Allure Cypress log","","","","should log cypress commands as steps when allureLogCypress is enabled",""
"passed","Fri Apr 09 13:11:43 GMT 2021","Fri Apr 09 13:11:43 GMT 2021","46","","Allure labels","","","","should be able to add label",""
"passed","Fri Apr 09 13:11:29 GMT 2021","Fri Apr 09 13:11:29 GMT 2021","34","","Allure links","","","","should be configurable with prefix env variables",""
"passed","Fri Apr 09 13:11:25 GMT 2021","Fri Apr 09 13:11:25 GMT 2021","43","","Allure executor info","","","","should write executors.json file",""
"passed","Fri Apr 09 13:11:43 GMT 2021","Fri Apr 09 13:11:43 GMT 2021","16","","Allure labels","","","","should be able to add tag",""
"passed","Fri Apr 09 13:11:41 GMT 2021","Fri Apr 09 13:11:41 GMT 2021","23","","Allure steps","","","","could be started for current test with step and finished automatically",""
"passed","Fri Apr 09 13:11:35 GMT 2021","Fri Apr 09 13:11:36 GMT 2021","28","","Allure test statuses","","","","should be passed",""
"passed","Fri Apr 09 13:11:31 GMT 2021","Fri Apr 09 13:11:31 GMT 2021","16","","Allure parameters","","","","should attach parameter number 2 to step",""
"passed","Fri Apr 09 13:11:45 GMT 2021","Fri Apr 09 13:11:45 GMT 2021","15","Allure tests structure","Label storage","Set in test","","","""Label storage"", ""Set in test""",""
"passed","Fri Apr 09 13:11:43 GMT 2021","Fri Apr 09 13:11:43 GMT 2021","7","","Allure labels","","","","should be able to add html description",""
"passed","Fri Apr 09 13:11:58 GMT 2021","Fri Apr 09 13:11:58 GMT 2021","58","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Some scenario with examples (example #1)",""
"passed","Fri Apr 09 13:11:19 GMT 2021","Fri Apr 09 13:11:19 GMT 2021","22","","Allure attachments","","","","should be able to attach file to test by content",""
"passed","Fri Apr 09 13:11:31 GMT 2021","Fri Apr 09 13:11:31 GMT 2021","12","","Allure parameters","","","","should attach parameter number 1 to step",""
"passed","Fri Apr 09 13:11:33 GMT 2021","Fri Apr 09 13:11:34 GMT 2021","462","","Allure screenshots","","","","should attach screenshot with custom name",""
"passed","Fri Apr 09 13:11:21 GMT 2021","Fri Apr 09 13:11:21 GMT 2021","41","","Allure Cypress log","","","","should be configurable by allureLogCypress env variable",""
"passed","Fri Apr 09 13:11:29 GMT 2021","Fri Apr 09 13:11:29 GMT 2021","18","","Allure links","","","","should accept * character as pattern in tmsPrefix configuration",""
"passed","Fri Apr 09 13:11:43 GMT 2021","Fri Apr 09 13:11:43 GMT 2021","19","","Allure labels","","","","should be able to add owner",""
"passed","Fri Apr 09 13:11:41 GMT 2021","Fri Apr 09 13:11:41 GMT 2021","29","","Allure steps","","","","could be started for current executable with log step, or step(name,false) and finish automatically",""
"passed","Fri Apr 09 13:11:45 GMT 2021","Fri Apr 09 13:11:45 GMT 2021","31","Allure tests structure","Set in test","Using commands","","","""Set in test"", ""Using commands""",""
"passed","Fri Apr 09 13:11:29 GMT 2021","Fri Apr 09 13:11:29 GMT 2021","21","","Allure links","","","","should be able to add link to test management system",""
"passed","Fri Apr 09 13:11:41 GMT 2021","Fri Apr 09 13:11:41 GMT 2021","48","","Allure steps","","","","could be started and finished with startStep, endStep",""
